_id,sku,brand,description,image,manufacturer,part_number,price,title,url
69819c4fc0a43de9049e43c2,0200751,,3M[TM] Roloc[TM] Disc 361F features an aluminum oxide abrasive which is a popular choice among industrial professionals because of its fast cut-rate and long life. This mineral makes a tough durable abrasive that self-fractures to expose fresh cutting edges whereas traditional natural abrasives dull more quickly. Due to its fast cut-rate hardness and strength it is widely used in grinding applications in addition to sanding and finishing applications. Aluminum oxide is suitable for a wide variety of materials in both woodworking and metalworking including ferrous alloys.Heat-resistant resin is a sturdy binding agent that adheres the abrasive to the backing and maintains the stability of the bond even in conditions of high heat or pressure. Cloth-backed discs are known for their durability and flexibility. They're a good first choice when working with metal or for heavy wood stock removal.3M[TM] Roloc[TM] Disc 361F is available for use with the following Roloc attachment systems: TSM TR TP and TS. Please select discs with the attachment design made for for the correct system. Disc can be used in wet or dry applications    Heat-resistant resin coating bonds abrasive to backing for durability under pressure heat and water    Tough YF-weight polyester backing supports medium-pressure applications and provides consistent performance    Durable aluminum oxide abrasive grains cut fast and perform well on many surfaces    3M[TM] Roloc[TM] attachment enables efficient and secure installation and removal of the disc For use in wet and dry applications.,https://img2.fastenal.com/infp360pmm/derivates/3/001/114/376/$v2/921111086_Primary_eng.jpg,3M,7000000381,128.50,"2"" Dia x 3-TR Arbor 80 Grit Medium Aluminum Oxide Yellow Fiber Disc",https://www.fastenal.com/product/details/0200751
69819c50c0a43de9049e43c3,0898732,FASTENAL,,https://img0.fastenal.com/infp360pmm/derivates/3/255/332/$v2/0898729_primary_en.jpg,FASTENAL BY NORTON,,91.02,"2"" Dia x 3-TR Arbor 80 Grit Coarse Aluminum Oxide Brown Fiber Disc",https://www.fastenal.com/product/details/0898732
69819c51c0a43de9049e43c4,0200749,,"3M[TM] Roloc[TM] Disc 361F features an aluminum oxide abrasive which is a popular choice among industrial professionals because of its fast cut-rate and long life. This mineral makes a tough durable abrasive that self-fractures to expose fresh cutting edges whereas traditional natural abrasives dull more quickly. Due to its fast cut-rate hardness and strength it is widely used in grinding applications in addition to sanding and finishing applications. Aluminum oxide is suitable for a wide variety of materials in both woodworking and metalworking including ferrous alloys.Heat-resistant resin is a sturdy binding agent that adheres the abrasive to the backing and maintains the stability of the bond even in conditions of high heat or pressure. Cloth-backed discs are known for their durability and flexibility. They're a good first choice when working with metal or for heavy wood stock removal.3M[TM] Roloc[TM] Disc 361F is available for use with the following Roloc attachment systems: TSM TR TP and TS. Please select discs with the attachment design made for for the correct system. Disc can be used in wet or dry applications    Heat-resistant resin coating bonds abrasive to backing for durability under pressure heat and water    Tough YF-weight polyester backing supports medium-pressure applications and provides consistent performance    Durable aluminum oxide abrasive grains cut fast and perform well on many surfaces    3M[TM] Roloc[TM] attachment enables efficient and secure installation and removal of the disc 3M[TM] Roloc[TM] Disc 361F offers a quick-change attachment and provides durability and high performance for grinding, blending, deburring, and finishing on all metals. Fast-cutting aluminum oxide abrasive grains are bonded to the heavyweight cloth backing with durable, heat-resistant resin that supports both wet and dry applications.",https://img2.fastenal.com/infp360pmm/derivates/3/001/113/576/921139297_Primary_eng.jpg,3M,7000000371,133.50,"2"" Dia x 3-TR Arbor 36 Grit Coarse Aluminum Oxide Brown Fiber Disc",https://www.fastenal.com/product/details/0200749
69819c51c0a43de9049e43c5,0898729,FASTENAL,,https://img0.fastenal.com/infp360pmm/derivates/3/255/332/$v2/0898729_primary_en.jpg,FASTENAL BY NORTON,,97.08,"2"" Dia x 3-TR Arbor 36 Grit Extra Coarse Aluminum Oxide Brown Fiber Disc",https://www.fastenal.com/product/details/0898729
69819c52c0a43de9049e43c6,0898728,FASTENAL,,https://img0.fastenal.com/infp360pmm/derivates/3/255/332/$v2/0898729_primary_en.jpg,FASTENAL BY NORTON,,91.02,"2"" Dia x 3-TR Arbor 120 Grit Medium Aluminum Oxide Brown Fiber Disc",https://www.fastenal.com/product/details/0898728
69819c53c0a43de9049e43c7,0898731,FASTENAL,,https://img0.fastenal.com/infp360pmm/derivates/3/255/332/$v2/0898729_primary_en.jpg,FASTENAL BY NORTON,,69.71,"2"" Dia x 3-TR Arbor 60 Grit Coarse Aluminum Oxide Brown Fiber Disc",https://www.fastenal.com/product/details/0898731
69819c54c0a43de9049e43c8,0200750,,"3M[TM] Roloc[TM] Disc 361F features an aluminum oxide abrasive which is a popular choice among industrial professionals because of its fast cut-rate and long life. This mineral makes a tough durable abrasive that self-fractures to expose fresh cutting edges whereas traditional natural abrasives dull more quickly. Due to its fast cut-rate hardness and strength it is widely used in grinding applications in addition to sanding and finishing applications. Aluminum oxide is suitable for a wide variety of materials in both woodworking and metalworking including ferrous alloys.Heat-resistant resin is a sturdy binding agent that adheres the abrasive to the backing and maintains the stability of the bond even in conditions of high heat or pressure. Cloth-backed discs are known for their durability and flexibility. They're a good first choice when working with metal or for heavy wood stock removal.3M[TM] Roloc[TM] Disc 361F is available for use with the following Roloc attachment systems: TSM TR TP and TS. Please select discs with the attachment design made for for the correct system. Disc can be used in wet or dry applications    Heat-resistant resin coating bonds abrasive to backing for durability under pressure heat and water    Tough YF-weight polyester backing supports medium-pressure applications and provides consistent performance    Durable aluminum oxide abrasive grains cut fast and perform well on many surfaces    3M[TM] Roloc[TM] attachment enables efficient and secure installation and removal of the disc 3M[TM] Roloc[TM] Disc 361F offers a quick-change attachment and provides durability and high performance for grinding, blending, deburring, and finishing on all metals. Fast-cutting aluminum oxide abrasive grains are bonded to the heavyweight cloth backing with durable, heat-resistant resin that supports both wet and dry applications.",https://img2.fastenal.com/infp360pmm/derivates/3/001/112/980/0200750_Primary_eng.jpg,3M,7000000376,147.00,"2"" Dia x 3-TR Arbor 60 Grit Medium Aluminum Oxide Orange Fiber Disc",https://www.fastenal.com/product/details/0200750
69819c54c0a43de9049e43c9,0200044,,"Strong abrasive disc laminated to a cloth backing with two styles of lock-on attachments.  Attaches to locking style backup pad.  Stock removal, finishing, deburring and blending of metal and other materials.  Two attachment styles: Type 2 metal button replaces Standard Socatt and Type 3 plastic button replaces 3M Roloc. Cost effective AO grain makes a superior all-around disc  Cutting product that is suitable for all types of metals  Long life due to robust backing and optimized grit spread Ideal for non-ferrous metals and mild steel  Weld, rust, and paint removal  Deburring and finishing",https://img2.fastenal.com/infp360pmm/derivates/3/001/494/0200041.jpg,SIA ABRASIVES,1467.3283.0080,2.11,"2"" Dia x 3-TR Arbor 80 Grit Medium Aluminum Oxide Maroon Fiber Disc",https://www.fastenal.com/product/details/0200044
69819c55c0a43de9049e43ca,0200043,,"Strong abrasive disc laminated to a cloth backing with two styles of lock-on attachments.  Attaches to locking style backup pad.  Stock removal, finishing, deburring and blending of metal and other materials.  Two attachment styles: Type 2 metal button replaces Standard Socatt and Type 3 plastic button replaces 3M Roloc. Cost effective AO grain makes a superior all-around disc  Cutting product that is suitable for all types of metals  Long life due to robust backing and optimized grit spread Ideal for non-ferrous metals and mild steel  Weld, rust, and paint removal  Deburring and finishing",https://img2.fastenal.com/infp360pmm/derivates/3/001/494/0200041.jpg,SIA ABRASIVES,1467.3283.0060,2.21,"2"" Dia x 3-TR Arbor 60 Grit Medium Aluminum Oxide Maroon Fiber Disc",https://www.fastenal.com/product/details/0200043
69819c55c0a43de9049e43cb,0200041,,"Strong abrasive disc laminated to a cloth backing with two styles of lock-on attachments.  Attaches to locking style backup pad.  Stock removal, finishing, deburring and blending of metal and other materials.  Two attachment styles: Type 2 metal button replaces Standard Socatt and Type 3 plastic button replaces 3M Roloc. Cost effective AO grain makes a superior all-around disc  Cutting product that is suitable for all types of metals  Long life due to robust backing and optimized grit spread Ideal for non-ferrous metals and mild steel  Weld, rust, and paint removal  Deburring and finishing",https://img4.fastenal.com/infp360pmm/derivates/3/001/130/044/0200040.jpg,SIA ABRASIVES,1467.3283.0036,2.62,"2"" Dia x 3-TR Arbor 36 Grit Coarse Aluminum Oxide Yellow Fiber Disc",https://www.fastenal.com/product/details/0200041
